searchCat,gcItemNumber,brand,displayName,condition,seoUrl,listPrice,price,storeName,firstDate,priceHistory
ibanez,120343258,Ibanez,Used Ibanez Used Ibanez RG2050Z PRESTIGE BLACK SPARKLE Solid Body Electric Guitar,Great,/Used/Ibanez/Used-Ibanez-RG2050Z-PRESTIGE-BLACK-SPARKLE-Solid-Body-Electric-Guitar-120343258.gc,999.99,699.99,"Springfield, NJ","2024-12-14, 17:43","2024-12-14, 17:43, 699.99"
ibanez,120389143,Ibanez,Used Ibanez Used Ibanez RG2570 Prestige J CRAFT Silver Solid Body Electric Guitar,Good,/Used/Ibanez/RG2570-Prestige-J-CRAFT-Solid-Body-Electric-Guitar.gc,829.99,829.99,"Queens, NY","2024-12-14, 17:43","2024-12-14, 17:43, 829.99"
ibanez,119495760,Ibanez,Used Ibanez Used Ibanez RG3250MZ Prestige Series Gray Solid Body Electric Guitar,Excellent,/Used/Ibanez/Used-Ibanez-RG3250MZ-Prestige-Series-Gray-Solid-Body-Electric-Guitar-119495760.gc,1259.99,899.99,"Savannah, GA","2024-12-14, 17:43","2024-12-14, 17:43, 899.99"
ibanez,120432485,Ibanez,Used Ibanez Used 2006 Ibanez S2170FW Prestige Burl Solid Body Electric Guitar,Good,/Used/Jackson/Used-2006-Ibanez-S2170FW-Prestige-Burl-Solid-Body-Electric-Guitar.gc,989.99,989.99,"Knoxville, TN","2024-12-14, 17:43","2024-12-14, 17:43, 989.99"
ibanez,119982143,Ibanez,Used Ibanez Used Ibanez Prestige RGR652AHBF Weathered Black Solid Body Electric Guitar,Good,/Used/Ibanez/Used-Ibanez-Prestige-RGR652AHBF-Weathered-Black-Solid-Body-Electric-Guitar-119982143.gc,999.99,999.99,"Orange, CT","2024-12-14, 17:43","2024-12-14, 17:43, 999.99"
ibanez,120461818,Ibanez,Used Ibanez Used Ibanez RG3550MZ Prestige Series Metallic Black Solid Body Electric Guitar,Good,/Used/Gretsch-Guitars/Used-Ibanez-RG3550MZ-Prestige-Series-Metallic-Black-Solid-Body-Electric-Guitar.gc,999.99,999.99,"Fountain Valley, CA","2024-12-14, 17:43","2024-12-14, 17:43, 999.99"
ibanez,120466865,Ibanez,Used Ibanez Used Ibanez Prestige Rgr652ahbf Solid Body Electric Guitar,Good,/Used/Gretsch-Guitars/Used-Ibanez-Prestige-Rgr652ahbf-Solid-Body-Electric-Guitar.gc,999.99,,"Coconut Creek, FL","2024-12-14, 17:43","2024-12-14, 17:43, "
ibanez,120613439,Ibanez,Used Ibanez Used 2010s Ibanez RG655 Prestige Cobalt Blue Metallic Solid Body Electric Guitar,Good,/Used/Ibanez/Used-2010s-Ibanez-RG655-Prestige-Cobalt-Blue-Metallic-Solid-Body-Electric-Guitar.gc,999.99,999.99,"Richmond, VA","2024-12-14, 17:43","2024-12-14, 17:43, 999.99"
ibanez,120611792,Ibanez,Used Ibanez Used Ibanez RG2228 Prestige Series 8 String Black Solid Body Electric Guitar,Great,/Used/Ibanez/Used-Ibanez-RG2228-Prestige-Series-8-String-Black-Solid-Body-Electric-Guitar.gc,999.99,999.99,"Arlington Heights, IL","2024-12-14, 17:43","2024-12-14, 17:43, 999.99"
ibanez,120158603,Ibanez,Used Ibanez Used 2006 Ibanez RG2570E Prestige Vital Silver Solid Body Electric Guitar,Great,/Used/Ibanez/2006-RG2570E-Prestige-Solid-Body-Electric-Guitar.gc,1149.99,1049.99,"Paramus, NJ","2024-12-14, 17:43","2024-12-14, 17:43, 1049.99"
ibanez,120511722,Ibanez,Used Ibanez Used Ibanez SV5470F Prestige Amber Solid Body Electric Guitar,Great,/Used/Ibanez/SV5470F-Prestige-Solid-Body-Electric-Guitar-120511722.gc,1099.99,1099.99,"Richmond, VA","2024-12-14, 17:43","2024-12-14, 17:43, 1099.99"
ibanez,120262223,Ibanez,Used Ibanez Used Ibanez RG652AHMFX Prestige Hard Tail Nebula Green Burst Solid Body Electric Guitar,Great,/Used/Ibanez/RG652AHMFX-Prestige-Hard-Tail-Solid-Body-Electric-Guitar.gc,1099.99,1099.99,"Orlando, FL","2024-12-14, 17:43","2024-12-14, 17:43, 1099.99"
ibanez,120508454,Ibanez,Used Ibanez Used Ibanez Prestige S1625 Purple Solid Body Electric Guitar,Good,/Used/Stadium/Used-Ibanez-Prestige-S1625-Purple-Solid-Body-Electric-Guitar.gc,1099.99,1099.99,"Westlake Village, CA","2024-12-14, 17:43","2024-12-14, 17:43, 1099.99"
ibanez,120356951,Ibanez,Used Ibanez Used Ibanez J Craft Prestige GALLEXY BLACK Solid Body Electric Guitar,Great,/Used/Ibanez/J-Craft-Prestige-Solid-Body-Electric-Guitar.gc,1199.99,1199.99,"Allen Park, MI","2024-12-14, 17:43","2024-12-14, 17:43, 1199.99"
